233.6,239.5,219,224.59,56458
224.01,226.89,220,222.75,26582
219.07,220.75,215.98,220.75,30429
218,218.44,212.16,215.01,29628
216.2,220.44,210.45,211.13,28234
210.95,214.45,203,207.43,34279
209.84,213.74,205.31,210.99,24897
212.55,212.65,200,201,30298
200.5,210,193.38,207.05,52320
202,205.19,197,204.75,43515
209.88,210.47,200.78,204.97,33249
202.5,202.5,191.25,200.19,47840
198,203.23,195.02,199.1,26263
203.4,206.5,199.03,202.55,24282
202.55,203.57,195.51,196,21831
196.15,198.28,188.88,191.85,41258
192.01,193.26,185.77,189.05,29073
189.5,191.9,182.41,186.49,38784
188.78,193.74,187.79,191.68,24192
190.75,199.52,182.75,196.32,45254
196.35,196.35,180.23,182.7,48440
183.7,184.9,170.18,173.58,68132
174.56,175.98,166.99,170.55,37037
172.3,173.44,157.74,162.5,80811
159,159,146,146.25,78024
146.97,159.79,140.1,145,74232
146.3,164.9,135,157.53,76585
153,163.26,144.02,152,124850
152,157.01,143.7,149.95,63544
151.49,162.95,151.49,154.96,48485
157.48,170.17,156.68,170.17,50795
170.3,173.75,164.77,167,33081
165.5,167.49,162.5,166.85,24643
169.5,178.91,169.5,176.95,44002
174.72,181.73,173.68,176.5,46142
175.1,180,167.84,179.99,46586
178.33,188.52,175.2,187.36,45295
189.1,192,185,189.76,52099
189,196.35,189,191.3,77105
194.29,195.95,182.7,184.75,58411
185.93,188.52,181.5,186.87,41508
188.34,197.42,184.22,195.4,42507
195.6,204.03,195.6,200.75,57364
200,209.7,197.4,205.5,44697
205,207.5,202.2,202.85,35966
203.5,209.38,202.79,208.95,27918
208.95,213.5,200.67,205.18,44706
208.77,209.42,205.33,207.52,28416
208.2,216.72,208.2,215.5,33768
214,218.97,211.5,218,53557
218.34,222.58,216.8,222.17,30138
222,228.5,219.4,228.15,32222
227,234.48,226.6,232.1,39725
233,239.88,232.74,238.5,44189
238.5,238.99,232.55,233,35647
234.5,235.2,220.3,220.34,41351
217.69,228.89,214.48,228.3,42912
228.39,234.81,225,230,33192
231.5,232.38,225.33,230.3,34338
231.9,235.5,226.5,226.5,34803
227,237.42,225.01,233.1,68683
235,251.24,229.77,237.45,136919
245,252.12,235.7,236.4,112725
237.85,257.5,236.65,257.5,85008
252.9,267.74,252.8,266.3,95904
268,269.34,254.51,255.97,74427
255.6,261.51,248.02,249.5,61431
251.77,258.99,245.3,249.3,79959
249.5,252,243.63,247.35,48996
248.5,255.5,247.33,254.87,42503
253.12,256.84,251.05,251.82,35692
252.01,255.06,249.12,253.9,31433
253.5,258.31,251.66,252.72,37643
255.4,255.59,241.25,245,53971
247.79,253.66,241.5,249.9,45332
249.83,250.97,246,247.33,24106
247.7,254,245.71,253.85,33456
255.3,257.38,250.76,251.5,30679
252.01,255.73,249.39,251.58,27762
252.45,255,249.4,251.78,27579
250.44,253.43,247.44,248.15,21250
247.75,249.99,237.81,239.3,45233
241.75,243.19,234.82,241.8,32479
239.86,241.8,231.31,231.58,36066
230.2,242.63,220.4,228.5,67968
230.47,234,209.79,210.52,93539
211,216.37,208.11,214.9,49837
216.5,218.01,206.8,207.25,41633
